,Question_id,Question_Reduced_Id,Gold_level
0,23647,23646,1
1,10756,10755,1
2,40638,40637,1
3,22855,22854,1
4,13988,13987,1
5,40562,40561,2
6,39958,39957,1
7,10035,10034,1
8,24031,24030,1
9,28241,28240,2
10,4238,4237,1
11,5241,5240,1
12,10666,10665,1
13,35016,35015,0
14,26492,26491,1
15,22612,22611,0
16,36311,36310,1
17,42329,42328,1
18,28233,28232,1
19,35233,35232,1
20,17290,17289,1
21,17643,17642,1
22,4190,4189,1
23,6755,6754,1
24,16873,16872,1
25,19321,19320,1
26,29664,29663,1
27,8441,8440,1
28,35397,35396,1
29,10696,10695,0
30,23148,23147,1
31,10424,10423,1
32,22653,22652,1
33,25789,25788,1
34,31988,31987,1
35,22317,22316,1
36,4723,4722,1
37,14730,14729,1
38,40892,40891,1
39,6387,6386,1
40,13116,13115,1
41,17125,17124,1
42,23991,23990,0
43,41397,41396,1
44,11389,11388,1
45,29935,29934,1
46,9244,9243,1
47,16685,16684,1
48,35392,35391,1
49,19722,19721,1
50,11236,11235,1
51,6364,6363,1
52,41080,41079,1
53,35305,35304,1
54,4272,4271,1
55,41694,41693,1
56,20525,20524,1
57,9307,9306,1
58,31041,31040,1
59,30370,30369,1
60,1408,1407,1
61,8355,8354,1
62,22885,22884,2
63,4705,4704,1
64,15532,15531,2
65,18537,18536,1
66,33412,33411,1
67,15411,15410,1
68,19522,19521,0
69,30506,30505,1
70,29987,29986,1
71,21387,21386,1
72,31271,31270,1
73,756,755,1
74,4268,4267,1
75,2646,2645,1
76,1401,1400,2
77,42564,42563,1
78,39691,39690,1
79,18096,18095,1
80,7509,7508,1
81,36329,36328,1
82,35251,35250,1
83,20355,20354,1
84,29388,29387,1
85,9653,9652,1
86,41015,41014,1
87,25536,25535,1
88,37620,37619,1
89,22574,22573,1
90,29611,29610,2
91,13836,13835,1
92,184,183,1
93,40582,40581,1
94,1801,1800,1
95,38570,38569,1
96,20504,20503,1
97,3788,3787,1
98,10230,10229,1
99,13397,13396,1
100,190,189,1
101,26763,26762,1
102,41644,41643,1
103,28068,28067,1
104,24293,24292,1
105,41373,41372,2
106,31533,31532,1
107,10517,10516,1
108,36834,36833,1
109,22081,22080,2
110,3555,3554,1
111,15182,15181,1
112,9032,9031,0
113,23289,23288,1
114,5718,5717,1
115,27021,27020,1
116,24276,24275,1
117,25234,25233,1
118,6814,6813,1
119,29065,29064,1
120,37583,37582,1
121,4595,4594,2
122,7782,7781,1
123,42538,42537,1
124,10792,10791,1
125,37934,37933,1
126,27389,27388,1
127,37802,37801,1
128,14591,14590,1
129,7181,7180,1
130,40063,40062,1
131,30924,30923,1
132,26196,26195,1
133,1161,1160,1
134,37780,37779,2
135,3462,3461,1
136,26906,26905,1
137,19560,19559,1
138,19593,19592,1
139,40061,40060,1
140,34094,34093,1
141,34815,34814,1
142,15113,15112,1
143,32950,32949,1
144,29561,29560,1
145,27648,27647,1
146,14596,14595,1
147,3593,3592,1
148,10337,10336,1
149,39483,39482,1
150,40781,40780,2
151,23656,23655,1
152,4307,4306,1
153,2718,2717,1
154,27397,27396,1
155,41094,41093,1
156,34285,34284,1
157,12985,12984,1
158,4155,4154,1
159,5376,5375,1
160,15818,15817,1
161,12337,12336,2
162,3791,3790,1
163,32485,32484,1
164,16466,16465,1
165,38051,38050,1
166,4480,4479,1
167,24129,24128,1
168,208,207,1
169,7579,7578,1
170,9966,9965,1
171,39601,39600,1
172,25844,25843,1
173,35646,35645,1
174,31784,31783,1
175,21547,21546,1
176,12923,12922,1
177,10254,10253,1
178,16963,16962,1
179,11668,11667,1
180,25146,25145,1
181,7348,7347,0
182,8136,8135,1
183,39725,39724,1
184,34040,34039,1
185,38023,38022,1
186,23455,23454,1
187,4941,4940,1
188,2156,2155,1
189,23568,23567,1
190,32039,32038,1
191,24886,24885,1
192,37401,37400,1
193,37284,37283,1
194,36699,36698,1
195,32685,32684,1
196,22745,22744,1
197,35118,35117,1
198,24624,24623,1
199,7234,7233,1
200,20134,20133,1
201,32011,32010,0
202,7498,7497,1
203,16254,16253,1
204,22616,22615,1
205,32292,32291,1
206,41520,41519,1
207,26000,25999,1
208,39773,39772,1
209,487,486,2
210,34165,34164,1
211,15046,15045,1
212,16497,16496,1
213,38721,38720,1
214,35616,35615,1
215,38870,38869,1
216,7680,7679,1
217,33624,33623,0
218,33475,33474,0
219,21413,21412,1
220,6289,6288,1
221,27384,27383,1
222,6255,6254,1
223,2924,2923,1
224,20151,20150,1
225,23745,23744,2
226,5204,5203,1
227,10568,10567,1
228,16021,16020,1
229,321,320,1
230,27819,27818,0
231,7958,7957,1
232,19730,19729,1
233,34599,34598,1
234,17106,17105,1
235,17606,17605,1
236,24261,24260,1
237,1918,1917,1
238,27623,27622,1
239,34904,34903,1
240,36624,36623,1
241,21087,21086,1
242,1676,1675,1
243,10609,10608,1
244,3959,3958,1
245,35577,35576,1
246,7137,7136,1
247,9946,9945,0
248,8081,8080,1
249,27693,27692,1
250,2619,2618,1
251,23163,23162,1
252,19782,19781,1
253,8486,8485,1
254,7028,7027,1
255,17737,17736,1
256,17277,17276,1
257,42525,42524,0
258,13469,13468,1
259,9716,9715,1
260,10817,10816,1
261,28073,28072,1
262,15000,14999,1
263,34683,34682,1
264,1384,1383,1
