,Question_id,Question_Reduced_Id,Gold_level
0,23647,23646,1
1,10756,10755,1
2,40638,40637,1
3,22855,22854,1
4,13988,13987,1
5,39958,39957,1
6,10035,10034,1
7,24031,24030,1
8,4238,4237,1
9,5241,5240,1
10,10666,10665,1
11,35016,35015,0
12,26492,26491,1
13,22612,22611,0
14,36311,36310,1
15,42329,42328,1
16,28233,28232,1
17,35233,35232,1
18,17290,17289,1
19,17643,17642,1
20,4190,4189,1
21,6755,6754,1
22,16873,16872,1
23,19321,19320,1
24,29664,29663,1
25,8441,8440,1
26,35397,35396,1
27,10696,10695,0
28,23148,23147,1
29,10424,10423,1
30,22653,22652,1
31,25789,25788,1
32,31988,31987,1
33,22317,22316,1
34,4723,4722,1
35,14730,14729,1
36,40892,40891,1
37,6387,6386,1
38,13116,13115,1
39,17125,17124,1
40,23991,23990,0
41,41397,41396,1
42,11389,11388,1
43,29935,29934,1
44,9244,9243,1
45,16685,16684,1
46,35392,35391,1
47,19722,19721,1
48,11236,11235,1
49,6364,6363,1
50,41080,41079,1
51,35305,35304,1
52,4272,4271,1
53,41694,41693,1
54,20525,20524,1
55,9307,9306,1
56,31041,31040,1
57,30370,30369,1
58,1408,1407,1
59,8355,8354,1
60,4705,4704,1
61,18537,18536,1
62,33412,33411,1
63,15411,15410,1
64,19522,19521,0
65,30506,30505,1
66,29987,29986,1
67,21387,21386,1
68,31271,31270,1
69,756,755,1
70,4268,4267,1
71,2646,2645,1
72,42564,42563,1
73,39691,39690,1
74,18096,18095,1
75,7509,7508,1
76,36329,36328,1
77,35251,35250,1
78,20355,20354,1
79,29388,29387,1
80,9653,9652,1
81,41015,41014,1
82,25536,25535,1
83,37620,37619,1
84,22574,22573,1
85,13836,13835,1
86,184,183,1
87,40582,40581,1
88,1801,1800,1
89,38570,38569,1
90,20504,20503,1
91,3788,3787,1
92,10230,10229,1
93,13397,13396,1
94,190,189,1
95,26763,26762,1
96,41644,41643,1
97,28068,28067,1
98,24293,24292,1
99,31533,31532,1
100,10517,10516,1
101,36834,36833,1
102,3555,3554,1
103,15182,15181,1
104,9032,9031,0
105,23289,23288,1
106,5718,5717,1
107,27021,27020,1
108,24276,24275,1
109,25234,25233,1
110,6814,6813,1
111,29065,29064,1
112,37583,37582,1
113,7782,7781,1
114,42538,42537,1
115,10792,10791,1
116,37934,37933,1
117,27389,27388,1
118,37802,37801,1
119,14591,14590,1
120,7181,7180,1
121,40063,40062,1
122,30924,30923,1
123,26196,26195,1
124,1161,1160,1
125,3462,3461,1
126,26906,26905,1
127,19560,19559,1
128,19593,19592,1
129,40061,40060,1
130,34094,34093,1
131,34815,34814,1
132,15113,15112,1
133,32950,32949,1
134,29561,29560,1
135,27648,27647,1
136,14596,14595,1
137,3593,3592,1
138,10337,10336,1
139,39483,39482,1
140,23656,23655,1
141,4307,4306,1
142,2718,2717,1
143,27397,27396,1
144,41094,41093,1
145,34285,34284,1
146,12985,12984,1
147,4155,4154,1
148,5376,5375,1
149,15818,15817,1
150,3791,3790,1
151,32485,32484,1
152,16466,16465,1
153,38051,38050,1
154,4480,4479,1
155,24129,24128,1
156,208,207,1
157,7579,7578,1
158,9966,9965,1
159,39601,39600,1
160,25844,25843,1
161,35646,35645,1
162,31784,31783,1
163,21547,21546,1
164,12923,12922,1
165,10254,10253,1
166,16963,16962,1
167,11668,11667,1
168,25146,25145,1
169,7348,7347,0
170,8136,8135,1
171,39725,39724,1
172,34040,34039,1
173,38023,38022,1
174,23455,23454,1
175,4941,4940,1
176,2156,2155,1
177,23568,23567,1
178,32039,32038,1
179,24886,24885,1
180,37401,37400,1
181,37284,37283,1
182,36699,36698,1
183,32685,32684,1
184,22745,22744,1
185,35118,35117,1
186,24624,24623,1
187,7234,7233,1
188,20134,20133,1
189,32011,32010,0
190,7498,7497,1
191,16254,16253,1
192,22616,22615,1
193,32292,32291,1
194,41520,41519,1
195,26000,25999,1
196,39773,39772,1
197,34165,34164,1
198,15046,15045,1
199,16497,16496,1
200,38721,38720,1
201,35616,35615,1
202,38870,38869,1
203,7680,7679,1
204,33624,33623,0
205,33475,33474,0
206,21413,21412,1
207,6289,6288,1
208,27384,27383,1
209,6255,6254,1
210,2924,2923,1
211,20151,20150,1
212,5204,5203,1
213,10568,10567,1
214,16021,16020,1
215,321,320,1
216,27819,27818,0
217,7958,7957,1
218,19730,19729,1
219,34599,34598,1
220,17106,17105,1
221,17606,17605,1
222,24261,24260,1
223,1918,1917,1
224,27623,27622,1
225,34904,34903,1
226,36624,36623,1
227,21087,21086,1
228,1676,1675,1
229,10609,10608,1
230,3959,3958,1
231,35577,35576,1
232,7137,7136,1
233,9946,9945,0
234,8081,8080,1
235,27693,27692,1
236,2619,2618,1
237,23163,23162,1
238,19782,19781,1
239,8486,8485,1
240,7028,7027,1
241,17737,17736,1
242,17277,17276,1
243,42525,42524,0
244,13469,13468,1
245,9716,9715,1
246,10817,10816,1
247,28073,28072,1
248,15000,14999,1
249,34683,34682,1
250,1384,1383,1
251,36659,36658,1
252,21345,21344,1
253,18001,18000,1
254,20916,20915,1
255,5847,5846,1
256,28858,28857,1
257,28607,28606,1
258,14404,14403,1
259,22188,22187,0
260,23444,23443,1
261,5598,5597,1
262,1183,1182,1
263,39438,39437,1
264,13381,13380,1
